serial no,average_word,word_length,up,low_ratio,smiley_count,stopword_usage,punctuation,msg_length,acro_line,elongation_vowel,suspension_point,imitation_rate,word_length,media_url,response_time
158,9,3,37,2,0,0,-1,39,0,0,0,4.5,3,0,0.0
159,7,3,26,1,0,0,-1,27,0,0,0,0.7777777777777778,3,0,0.0
160,1,0,0,0,3,0,-1,0,0,0,0,0.14285714285714285,0,0,0.0
161,6,2,16,1,0,0,1,17,0,0,0,6.0,2,0,0.0
162,10,3,36,2,0,0,5,38,0,1,2,1.6666666666666667,3,0,0.0
163,3,2,9,1,0,0,-1,10,1,0,0,0.3,2,0,0.0
164,4,3,18,1,0,0,-1,19,0,0,0,1.3333333333333333,3,0,0.0
165,2,2,7,1,0,0,-1,8,0,0,0,0.5,2,0,0.0
166,1,0,0,0,6,0,-1,0,0,0,0,0.5,0,0,0.0
167,3,3,10,2,0,0,0,12,0,0,0,3.0,3,0,0.0
168,6,3,25,1,0,0,2,26,0,0,0,2.0,3,0,0.0
169,6,4,27,2,0,0,-1,29,0,0,0,1.0,4,0,0.0
170,5,3,22,1,0,0,2,23,0,2,1,0.8333333333333334,3,0,0.0
171,5,3,18,1,0,0,-1,19,0,0,0,1.0,3,0,0.0
172,3,3,11,1,0,0,-1,12,0,0,0,0.6,3,0,0.0
173,7,3,23,2,0,1,0,25,0,0,0,2.3333333333333335,3,0,0.0
174,1,2,4,1,0,0,-1,5,0,1,0,0.14285714285714285,2,0,0.0
175,1,0,0,0,3,0,-1,0,0,0,0,1.0,0,0,0.0
176,5,2,16,1,0,0,3,17,2,0,0,5.0,2,0,0.0
177,7,3,22,2,0,1,3,24,0,0,0,1.4,3,0,0.0
178,5,4,24,1,0,0,3,25,0,1,1,0.7142857142857143,4,0,0.0
179,1,3,6,1,0,0,2,7,0,1,1,0.2,3,0,0.0
180,2,2,5,1,0,0,-1,6,0,0,0,2.0,2,0,0.0
181,9,4,42,1,0,0,-1,43,0,0,0,4.5,4,0,0.0
182,3,2,10,1,0,0,2,11,1,1,1,0.3333333333333333,2,0,0.0
183,6,3,22,2,0,0,-1,24,0,0,0,2.0,3,0,0.0
184,6,3,22,1,0,0,-1,23,0,0,0,1.0,3,0,0.0
185,6,3,24,2,0,0,-1,26,0,0,0,1.0,3,0,0.0
186,1,0,0,0,5,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
187,2,4,12,0,0,0,1,12,0,0,0,2.0,4,1,0.0
188,2,4,12,0,0,0,1,12,0,0,0,1.0,4,1,0.0
189,3,3,12,1,0,0,5,13,0,1,2,1.5,3,0,0.0
190,1,0,0,0,4,0,-1,0,0,0,0,0.3333333333333333,0,0,0.0
191,1,2,4,1,0,0,-1,5,0,0,0,1.0,2,0,0.0
192,3,2,9,1,0,0,-1,10,0,0,0,3.0,2,0,0.0
193,5,3,18,1,0,0,3,19,0,2,1,1.6666666666666667,3,0,0.0
194,7,4,31,1,0,1,1,32,0,1,0,1.4,4,0,0.0
195,4,4,19,1,0,0,-1,20,0,0,0,0.5714285714285714,4,0,0.0
196,1,0,0,0,4,0,-1,0,0,0,0,0.25,0,0,0.0
197,1,0,0,0,3,0,-1,0,0,0,0,1.0,0,0,0.0
198,3,2,8,1,0,1,3,9,0,1,1,3.0,2,0,0.0
199,1,0,0,0,0,0,-1,0,0,0,0,0.3333333333333333,0,0,0.0
200,3,3,12,1,0,0,4,13,0,1,1,3.0,3,0,0.0
201,3,3,11,1,0,0,3,12,0,0,0,1.0,3,0,0.0
202,5,2,16,1,0,1,-1,17,0,0,0,1.6666666666666667,2,0,0.0
203,4,3,15,1,0,0,-1,16,0,0,0,0.8,3,0,0.0
204,9,2,24,3,0,5,-1,27,0,0,0,2.25,2,0,0.0
205,1,3,5,1,0,0,-1,6,0,0,0,0.1111111111111111,3,0,0.0
206,5,3,18,1,0,0,-1,19,0,1,0,5.0,3,0,0.0
207,4,3,14,1,0,0,2,15,0,1,1,0.8,3,0,0.0
208,8,2,24,1,0,7,-1,25,1,0,0,2.0,2,0,0.0
209,6,3,25,2,0,0,7,27,0,1,1,0.75,3,0,0.0
210,7,3,22,3,0,1,2,25,0,1,1,1.1666666666666667,3,0,0.0
211,6,2,16,1,0,3,1,17,1,0,0,0.8571428571428571,2,0,0.0
212,1,0,0,0,3,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
213,1,5,10,1,0,0,8,11,0,1,3,1.0,5,0,0.0
214,1,0,0,0,4,0,-1,0,0,0,0,1.0,0,0,0.0
215,9,3,33,1,0,0,-1,34,0,1,0,9.0,3,0,0.0
216,3,3,11,1,0,0,3,12,0,1,1,0.3333333333333333,3,0,0.0
217,5,3,19,1,0,1,-1,20,0,1,0,1.6666666666666667,3,0,0.0
218,6,3,22,1,0,0,-1,23,0,1,0,1.2,3,0,0.0
219,11,4,49,3,0,0,-1,52,0,2,0,1.8333333333333333,4,0,0.0
220,12,3,39,1,0,6,-1,40,0,0,0,1.0909090909090908,3,0,0.0
221,1,2,3,1,0,0,3,4,0,0,0,0.08333333333333333,2,0,0.0
222,5,2,14,1,0,1,1,15,2,0,0,5.0,2,0,0.0
223,5,3,18,1,0,0,-1,19,0,1,0,1.0,3,0,0.0
224,3,4,18,1,0,0,-1,19,0,0,0,0.6,4,0,0.0
225,1,3,5,1,0,0,-1,6,0,0,0,0.3333333333333333,3,0,0.0
226,8,4,41,1,0,2,1,42,2,0,0,8.0,4,0,0.0
227,6,2,16,1,0,4,0,17,0,0,0,0.75,2,0,0.0
228,11,3,37,1,0,3,-1,38,0,1,0,1.8333333333333333,3,0,0.0
229,8,3,26,1,0,1,-1,27,0,0,0,0.7272727272727273,3,0,0.0
230,3,2,9,1,0,0,-1,10,1,1,0,0.375,2,0,0.0
231,6,4,31,1,0,0,1,32,0,1,0,2.0,4,0,0.0
232,2,3,8,1,0,0,-1,9,0,1,0,0.3333333333333333,3,0,0.0
233,2,3,7,2,0,0,3,9,0,1,1,1.0,3,0,0.0
234,7,2,19,1,0,0,2,20,0,1,1,3.5,2,0,0.0
235,6,3,22,1,0,0,-1,23,0,1,0,0.8571428571428571,3,0,0.0
236,3,4,14,2,0,0,1,16,0,0,0,0.5,4,0,0.0
237,5,3,17,1,0,3,-1,18,0,0,0,1.6666666666666667,3,0,0.0
238,1,2,3,1,0,0,-1,4,0,1,0,0.2,2,0,0.0
239,5,3,19,1,0,1,0,20,0,0,0,5.0,3,0,0.0
240,10,2,29,1,0,6,-1,30,0,0,0,2.0,2,0,0.0
241,3,2,9,1,0,0,-1,10,0,0,0,0.3,2,0,0.0
242,4,3,14,1,0,0,-1,15,0,0,0,1.3333333333333333,3,0,0.0
243,6,2,17,1,0,1,1,18,0,1,0,1.5,2,0,0.0
244,1,0,0,0,3,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
245,6,3,24,1,0,1,-1,25,0,0,0,6.0,3,0,0.0
246,1,0,0,0,3,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
247,5,2,16,1,0,0,-1,17,0,0,0,5.0,2,0,0.0
248,6,3,22,1,0,1,-1,23,0,0,0,1.2,3,0,0.0
249,1,2,3,1,0,0,-1,4,0,0,0,0.16666666666666666,2,0,0.0
250,4,3,17,1,0,0,-1,18,0,0,0,4.0,3,0,0.0
251,6,3,25,1,0,0,-1,26,0,0,0,1.5,3,0,0.0
252,5,3,20,2,0,1,0,22,0,0,0,0.8333333333333334,3,0,0.0
253,3,3,13,1,0,1,-1,14,0,0,0,0.6,3,0,0.0
254,4,3,15,1,0,0,-1,16,0,1,0,1.3333333333333333,3,0,0.0
255,4,1,6,1,0,0,3,7,0,0,0,1.0,1,0,0.0
256,2,3,8,1,0,0,-1,9,0,0,0,0.5,3,0,0.0
257,1,2,4,1,0,0,-1,5,0,0,0,0.5,2,0,0.0
258,4,3,15,1,0,0,-1,16,0,1,0,4.0,3,0,0.0
259,3,3,14,1,0,0,-1,15,0,0,0,0.75,3,0,0.0
260,1,0,0,0,3,0,-1,0,0,0,0,0.3333333333333333,0,0,0.0
261,1,3,5,1,0,0,-1,6,0,1,0,1.0,3,0,0.0
262,7,3,24,1,0,0,-1,25,0,0,0,7.0,3,0,0.0
263,3,1,6,0,0,0,0,6,0,0,0,0.42857142857142855,1,0,0.0
264,7,3,28,1,0,0,-1,29,0,0,0,2.3333333333333335,3,0,0.0
265,2,1,4,1,0,0,3,5,2,1,1,0.2857142857142857,1,0,0.0
266,7,3,29,1,0,0,0,30,0,1,0,3.5,3,0,0.0
267,5,3,18,1,0,0,-1,19,0,0,0,0.7142857142857143,3,0,0.0
268,5,3,18,1,0,2,-1,19,0,0,0,1.0,3,0,0.0
269,5,2,14,1,0,0,-1,15,2,0,0,1.0,2,0,0.0
270,3,3,13,1,0,0,-1,14,0,1,0,0.6,3,0,0.0
271,6,3,25,1,0,1,3,26,0,1,1,2.0,3,0,0.0
272,1,0,0,0,2,0,-1,0,0,0,0,0.16666666666666666,0,0,0.0
273,7,3,25,1,0,0,-1,26,0,0,0,7.0,3,0,0.0
274,3,2,8,1,0,1,1,9,0,0,0,0.42857142857142855,2,0,0.0
275,1,0,0,1,0,0,-1,1,0,0,0,0.3333333333333333,0,0,0.0
276,8,4,42,1,0,1,-1,43,0,1,0,8.0,4,0,0.0
277,4,3,16,1,0,0,-1,17,0,0,0,0.5,3,0,0.0
278,4,3,15,1,0,0,-1,16,0,0,0,1.0,3,0,0.0
279,5,3,22,1,0,1,1,23,0,0,0,1.25,3,0,0.0
280,1,0,0,0,3,0,-1,0,0,0,0,0.2,0,0,0.0
281,1,2,4,1,0,0,3,5,0,0,0,1.0,2,0,0.0
282,8,3,31,1,0,0,0,32,0,0,0,8.0,3,0,0.0
283,4,2,9,3,0,2,-1,12,0,0,0,0.5,2,0,0.0
284,1,2,3,1,0,0,-1,4,0,1,0,0.25,2,0,0.0
285,4,2,12,1,0,0,-1,13,0,0,0,4.0,2,0,0.0
286,5,4,26,1,0,0,-1,27,0,1,0,1.25,4,0,0.0
287,4,3,18,1,0,0,2,19,2,0,0,0.8,3,0,0.0
288,5,4,23,1,0,0,-1,24,0,0,0,1.25,4,0,0.0
289,10,2,31,1,0,2,3,32,2,1,1,2.0,2,0,0.0
290,5,2,13,1,0,1,-1,14,2,0,0,0.5,2,0,0.0
291,4,2,10,1,0,1,-1,11,2,0,0,0.8,2,0,0.0
292,4,2,13,1,0,0,2,14,0,1,1,1.0,2,0,0.0
293,1,0,0,0,4,0,-1,0,0,0,0,0.25,0,0,0.0
294,4,3,16,1,0,0,-1,17,0,0,0,4.0,3,0,0.0
295,7,3,29,1,0,0,3,30,0,2,1,1.75,3,0,0.0
296,2,2,5,1,0,0,0,6,0,0,0,0.2857142857142857,2,0,0.0
297,4,3,14,1,0,0,-1,15,1,0,0,2.0,3,0,0.0
298,4,4,21,1,0,0,1,22,0,0,0,1.0,4,0,0.0
299,4,3,16,1,0,1,-1,17,0,0,0,1.0,3,0,0.0
300,4,3,15,1,0,0,-1,16,0,0,0,1.0,3,0,0.0
301,5,4,24,1,0,0,1,25,0,1,0,1.25,4,0,0.0
302,2,3,10,1,0,0,2,11,0,1,1,0.4,3,0,0.0
303,11,2,31,2,0,5,-1,33,2,0,0,5.5,2,0,0.0
304,7,3,26,1,0,0,-1,27,0,0,0,0.6363636363636364,3,0,0.0
305,9,3,32,1,0,0,-1,33,0,1,0,1.2857142857142858,3,0,0.0
306,6,3,20,1,0,0,-1,21,0,0,0,0.6666666666666666,3,0,0.0
307,6,4,27,1,0,0,-1,28,0,0,0,1.0,4,0,0.0
308,9,3,31,1,0,0,-1,32,0,0,0,1.5,3,0,0.0
309,5,2,15,1,0,0,-1,16,0,0,0,0.5555555555555556,2,0,0.0
310,7,3,26,1,0,0,-1,27,0,0,0,1.4,3,0,0.0
311,12,3,39,3,0,1,-1,42,0,0,0,1.7142857142857142,3,0,0.0
312,9,3,34,1,0,0,-1,35,0,0,0,0.75,3,0,0.0
313,6,2,15,1,0,0,2,16,0,1,1,0.6666666666666666,2,0,0.0
314,4,3,14,1,0,0,2,15,0,2,1,0.6666666666666666,3,0,0.0
315,1,0,0,0,3,0,-1,0,0,0,0,0.25,0,0,0.0
316,13,3,53,1,0,1,-1,54,1,0,0,13.0,3,0,0.0
317,1,0,0,0,3,0,-1,0,0,0,0,0.07692307692307693,0,0,0.0
318,1,2,4,1,0,0,1,5,0,1,0,1.0,2,0,0.0
319,2,4,12,1,0,0,2,13,0,1,1,2.0,4,0,0.0
320,4,2,12,2,0,0,2,14,0,1,1,2.0,2,0,0.0
321,6,3,20,1,0,0,1,21,0,0,0,1.5,3,0,0.0
322,4,3,15,1,0,0,-1,16,0,0,0,0.6666666666666666,3,0,0.0
323,7,3,26,1,0,0,-1,27,0,0,0,1.75,3,0,0.0
324,9,3,35,1,0,0,1,36,0,0,0,1.2857142857142858,3,0,0.0
325,1,0,0,0,3,0,-1,0,0,0,0,0.1111111111111111,0,0,0.0
326,2,4,10,2,0,0,2,12,0,1,1,2.0,4,0,0.0
327,1,2,3,1,0,0,-1,4,0,0,0,0.5,2,0,0.0
328,3,2,10,1,0,0,-1,11,0,0,0,3.0,2,0,0.0
329,3,3,12,1,0,0,-1,13,0,1,0,1.0,3,0,0.0
330,4,4,22,1,0,0,-1,23,0,1,0,1.3333333333333333,4,0,0.0
331,5,3,17,1,0,0,-1,18,0,0,0,1.25,3,0,0.0
332,9,3,31,1,0,0,2,32,0,1,1,1.8,3,0,0.0
333,6,3,25,2,0,0,4,27,0,1,1,0.6666666666666666,3,0,0.0
334,1,1,1,1,0,0,-1,2,0,0,0,0.16666666666666666,1,0,0.0
335,7,2,21,1,0,1,-1,22,0,0,0,7.0,2,0,0.0
336,4,3,15,1,0,0,-1,16,0,0,0,0.5714285714285714,3,0,0.0
337,1,0,0,0,3,0,-1,0,0,0,0,0.25,0,0,0.0
338,1,0,0,0,4,0,-1,0,0,0,0,1.0,0,0,0.0
339,4,3,16,1,0,2,2,17,0,1,1,4.0,3,0,0.0
340,1,0,0,0,2,0,-1,0,0,0,0,0.25,0,0,0.0
341,4,2,12,1,0,0,-1,13,0,0,0,4.0,2,0,0.0
342,2,2,6,1,0,0,-1,7,0,0,0,0.5,2,0,0.0
343,1,3,5,1,0,0,-1,6,0,1,0,0.5,3,0,0.0
344,1,0,0,0,3,0,-1,0,0,0,0,1.0,0,0,0.0
345,5,3,21,1,0,0,0,22,0,0,0,5.0,3,0,0.0
346,7,3,24,1,0,1,1,25,0,0,0,1.4,3,0,0.0
347,4,3,14,2,0,1,2,16,0,0,0,0.5714285714285714,3,0,0.0
348,3,3,11,1,0,0,1,12,2,0,0,0.75,3,0,0.0
349,1,1,2,1,0,0,-1,3,0,0,0,0.3333333333333333,1,0,0.0
350,8,2,23,1,0,1,1,24,0,0,0,8.0,2,0,0.0
351,3,3,11,1,0,0,-1,12,0,0,0,0.375,3,0,0.0
352,5,4,24,1,0,0,1,25,0,1,0,1.6666666666666667,4,0,0.0
353,4,3,14,1,0,0,1,15,0,0,0,0.8,3,0,0.0
354,6,2,17,1,0,0,1,18,0,0,0,1.5,2,0,0.0
355,6,2,18,1,0,0,-1,19,0,0,0,1.0,2,0,0.0
356,5,3,20,1,0,1,0,21,0,0,0,0.8333333333333334,3,0,0.0
357,1,1,2,1,0,0,-1,3,0,0,0,0.2,1,0,0.0
358,3,2,9,1,0,0,1,10,0,0,0,3.0,2,0,0.0
359,15,3,51,1,0,0,2,52,0,0,0,5.0,3,0,0.0
360,10,3,38,1,0,0,-1,39,0,0,0,0.6666666666666666,3,0,0.0
361,6,2,18,1,0,0,-1,19,0,0,0,0.6,2,0,0.0
362,1,2,3,1,0,0,-1,4,0,1,0,0.16666666666666666,2,0,0.0
363,2,2,7,1,0,0,-1,8,0,0,0,2.0,2,0,0.0
364,1,3,5,1,0,0,2,6,0,1,1,0.5,3,0,0.0
